id,budget,algorithm,im,avgDist,optTime,execTime
1-01.json,1000,NAIVE,746.3043532160299,1.3468115942029009,765,2847
1-01.json,1000,TAP,99.3084982049682,0.0,708,309
1-01.json,2000,NAIVE,746.3043532160299,1.3900966183574899,515,1727
1-01.json,2000,TAP,454.12021573580216,0.7900483091787444,1127,959
1-01.json,3000,NAIVE,746.3043532160299,1.404589371980678,236,1646
1-01.json,3000,TAP,751.2697781262783,1.4082125603864752,1482,1604
1-01.json,4000,NAIVE,746.3043532160299,1.430144927536234,239,1591
1-01.json,4000,TAP,751.2697781262783,1.432367149758456,1599,1629
1-01.json,5000,NAIVE,746.3043532160299,1.3768115942029002,250,1570
1-01.json,5000,TAP,751.2697781262783,1.3673429951690839,1532,1534
1-01.json,6000,NAIVE,746.3043532160299,1.4082125603864752,273,1619
1-01.json,6000,TAP,751.2697781262783,1.430144927536234,1568,1528
1-01.json,7000,NAIVE,746.3043532160299,1.3745893719806777,283,1587
1-01.json,7000,TAP,751.2697781262783,1.4253140096618382,1479,1514
1-01.json,8000,NAIVE,746.3043532160299,1.430144927536234,236,1554
1-01.json,8000,TAP,751.2697781262783,1.417874396135268,1590,1649
1-01.json,9000,NAIVE,746.3043532160299,1.4301449275362343,244,1526
1-01.json,9000,TAP,751.2697781262783,1.4301449275362335,1478,1606
1-01.json,10000,NAIVE,746.3043532160299,1.3878743961352673,243,1562
1-01.json,10000,TAP,751.2697781262783,1.4045893719806783,1564,1539
1-02.json,1000,NAIVE,48.206256241027376,0.07850241545893755,14,1213
1-02.json,1000,TAP,75.30088825115753,0.12801932367149782,119,780
1-02.json,2000,NAIVE,68.99362633038245,0.1654589371980677,20,366
1-02.json,2000,TAP,137.55450878004837,0.31521739130434845,183,1701
1-02.json,3000,NAIVE,82.84642232668006,0.19806763285024154,14,78
1-02.json,3000,TAP,193.95869556541504,0.5579710144927539,182,2619
1-02.json,4000,NAIVE,103.7313008768571,0.2536231884057971,30,68
1-02.json,4000,TAP,526.3526979887027,1.0024154589371994,585,2943
1-02.json,5000,NAIVE,117.66548428557421,0.3091787439613528,14,76
1-02.json,5000,TAP,526.3526979887027,1.0169082125603879,486,301
1-02.json,6000,NAIVE,138.38890486150376,0.37560386473429996,14,75
1-02.json,6000,TAP,526.3526979887027,1.0024154589372003,511,309
1-02.json,7000,NAIVE,152.2360665218472,0.41666666666666696,15,84
1-02.json,7000,TAP,526.3526979887027,1.009661835748794,520,284
1-02.json,8000,NAIVE,173.02753144132487,0.47342995169082125,17,97
1-02.json,8000,TAP,526.3526979887027,1.0144927536231898,528,294
1-02.json,9000,NAIVE,186.88495330987595,0.48792270531401005,17,94
1-02.json,9000,TAP,526.3526979887027,1.0144927536231898,519,301
1-02.json,10000,NAIVE,207.62156792282016,0.5797101449275361,20,132
1-02.json,10000,TAP,526.3526979887027,0.9589371980676343,559,272
1-03.json,1000,NAIVE,64.42863544836672,0.13285024154589375,2,1441
1-03.json,1000,TAP,64.71536781112908,0.15458937198067624,16,789
1-03.json,2000,NAIVE,90.42538974699957,0.2185990338164252,10,369
1-03.json,2000,TAP,148.86801626613084,0.4420289855072469,47,2106
1-03.json,3000,NAIVE,116.36437073643667,0.318840579710145,12,157
1-03.json,3000,TAP,225.1922194411739,0.7101449275362323,48,1737
1-03.json,4000,NAIVE,142.2326138917961,0.42512077294686,4,139
1-03.json,4000,TAP,225.1922194411739,0.717391304347827,36,284
