id,budget,algorithm,im,avgDist,optTime,execTime,candidates,nbExecuted,reoptGood,reoptBad;
1-01.json,500,NAIVE,15.389925037951347,0.010869565217391464,330,562,149,3,0,0
1-01.json,500,TAP,10.282630844552983,0.0036231884057972286,356,62,149,2,1,1
1-01.json,1000,NAIVE,30.71180761814644,0.0181159420289857,248,214,149,6,0,0
1-01.json,1000,TAP,30.71180761814644,0.014492753623188692,742,188,149,6,3,3
1-01.json,1500,NAIVE,51.1409843917399,0.021739130434782927,127,241,149,10,0,0
1-01.json,1500,TAP,107.27562200888427,0.028985507246377162,1017,380,149,21,12,9
1-01.json,2000,NAIVE,66.46286697193499,0.014492753623188692,84,223,149,13,0,0
1-01.json,2000,TAP,148.17957406630882,0.021739130434782927,1367,569,149,29,16,13
1-01.json,2500,NAIVE,81.78474955213008,0.021739130434782927,91,353,149,16,0,0
1-01.json,2500,TAP,291.51582335931994,0.321256038647344,1514,859,149,57,32,25
1-01.json,3000,NAIVE,102.21392632572355,0.021739130434782927,98,258,149,20,0,0
1-01.json,3000,TAP,443.41343369087684,0.8768115942029009,1772,1169,149,87,53,34
1-01.json,4000,NAIVE,137.9649856795121,0.021739130434782927,104,360,149,27,0,0
1-01.json,4000,TAP,557.6182066265902,1.265700483091789,2452,1471,149,110,67,43
1-01.json,5000,NAIVE,168.60875083990229,0.0181159420289857,97,425,149,33,0,0
1-01.json,5000,TAP,751.2697781262783,1.4301449275362343,2608,1880,149,149,79,70
1-02.json,500,NAIVE,27.37616170869207,0.0628019323671497,14,532,78,4,0,0
1-02.json,500,TAP,34.543383883622255,0.04589371980676349,56,497,78,5,2,3
1-02.json,1000,NAIVE,55.06637596765218,0.11231884057971031,24,393,78,8,0,0
1-02.json,1000,TAP,48.35455509527301,0.11352657004830935,76,784,78,7,3,4
1-02.json,1500,NAIVE,75.82900095719995,0.2004830917874395,25,637,78,11,0,0
1-02.json,1500,TAP,76.19242203929439,0.2028985507246378,186,1264,78,11,5,6
1-02.json,2000,NAIVE,103.47680088816226,0.2946859903381642,42,812,78,15,0,0
1-02.json,2000,TAP,131.6850837142309,0.3743961352657007,199,1713,78,19,9,10
1-02.json,2500,NAIVE,124.26826580763995,0.35386473429951726,27,109,78,18,0,0
1-02.json,2500,TAP,241.27668023457318,0.7016908212560391,290,2126,78,35,20,15
1-02.json,3000,NAIVE,145.03122635890315,0.42995169082125606,29,142,78,21,0,0
1-02.json,3000,TAP,433.5372503478234,0.8405797101449292,580,2393,78,64,34,30
1-02.json,4000,NAIVE,193.68172511640043,0.5603864734299521,27,194,78,28,0,0
1-02.json,4000,TAP,526.3526979887027,1.0120772946859926,816,1514,78,78,50,28
1-02.json,5000,NAIVE,221.38765574009904,0.6739130434782612,26,164,78,32,0,0
1-02.json,5000,TAP,526.3526979887027,0.9818840579710161,626,329,78,78,57,21
1-03.json,500,NAIVE,38.606388655478625,0.07125603864734298,4,369,35,6,0,0
1-03.json,500,TAP,38.725808147732444,0.08574879227053178,18,494,35,6,2,4
1-03.json,1000,NAIVE,70.79911291021925,0.19806763285024198,11,983,35,11,0,0
1-03.json,1000,TAP,64.63286688132622,0.18599033816425137,19,1035,35,10,4,6
1-03.json,1500,NAIVE,103.15513704510315,0.3212560386473432,13,480,35,16,0,0
1-03.json,1500,TAP,129.41342015457425,0.36956521739130466,58,1367,35,20,9,11
1-03.json,2000,NAIVE,135.56301885477916,0.42270531400966194,18,673,35,21,0,0
1-03.json,2000,TAP,174.55846502816738,0.5217391304347827,76,1866,35,27,15,12
1-03.json,2500,NAIVE,161.47230976154313,0.5144927536231888,8,268,35,25,0,0
1-03.json,2500,TAP,225.1922194411739,0.7004830917874401,38,323,35,35,31,4
1-03.json,3000,NAIVE,193.8671649554197,0.6135265700483095,8,306,35,30,0,0
1-03.json,3000,TAP,225.1922194411739,0.6811594202898557,42,367,35,35,33,2
1-03.json,4000,NAIVE,200.34299489904623,0.6473429951690824,7,331,35,31,0,0
1-03.json,4000,TAP,225.1922194411739,0.7222222222222227,41,378,35,35,35,0
1-03.json,5000,NAIVE,200.34299489904623,0.6328502415458943,11,411,35,31,0,0
1-03.json,5000,TAP,225.1922194411739,0.7125603864734305,41,436,35,35,35,0
1-04.json,500,NAIVE,31.794460658731076,0.04589371980676338,15,846,84,5,0,0
1-04.json,500,TAP,31.87370984474679,0.038647342995169254,69,423,84,5,3,2
1-04.json,1000,NAIVE,57.02267876382845,0.15579710144927528,17,96,84,9,0,0
1-04.json,1000,TAP,373.1772289733981,1.0120772946859913,345,576,84,60,38,22
1-04.json,1500,NAIVE,82.39846579322389,0.25724637681159435,21,122,84,13,0,0
1-04.json,1500,TAP,518.6234761180092,1.1147342995169103,419,784,84,84,47,37
1-04.json,2000,NAIVE,114.04854156496745,0.3719806763285026,21,183,84,18,0,0
1-04.json,2000,TAP,518.6234761180092,1.0942028985507264,502,852,84,84,50,34
1-04.json,2500,NAIVE,139.4524537949781,0.4685990338164252,20,197,84,22,0,0
1-04.json,2500,TAP,518.6234761180092,1.124589371980678,586,900,84,84,53,31
1-04.json,3000,NAIVE,164.9400455759693,0.5217391304347827,20,247,84,26,0,0
1-04.json,3000,TAP,518.6234761180092,1.1231884057971038,707,982,84,84,55,29
1-04.json,4000,NAIVE,203.1043891020887,0.6582125603864739,23,308,84,32,0,0
1-04.json,4000,TAP,518.6234761180092,1.1002415458937223,649,758,84,84,64,20
1-04.json,5000,NAIVE,203.1043891020887,0.6618357487922707,23,290,84,32,0,0
