session,candidateSize,budget,algo,planSize,executedSize,im,avgDist,optiTime,execTime,reoptGood,reoptBad
data/ssb_converted/explorative.xml_0,7,1000,OPT,4,4,18.09991352104894,0.036111111111111066,429,15,0,0
data/ssb_converted/explorative.xml_0,7,1000,NAIVE,7,3,13.804168566993361,0.03333333333333329,0.3865,8,0,0
data/ssb_converted/explorative.xml_0,7,1000,TAP,2,7,9.207150891159898,0.027777777777777735,36,6,0,2
data/ssb_converted/explorative.xml_0,7,2000,OPT,4,4,18.31981839393614,0.038888888888888834,531,14,0,0
data/ssb_converted/explorative.xml_0,7,2000,NAIVE,7,3,13.804168566993361,0.03333333333333329,0.2089,8,0,0
data/ssb_converted/explorative.xml_0,7,2000,TAP,2,7,9.202045471025972,0.027777777777777735,1,5,0,2
data/ssb_converted/explorative.xml_0,7,3000,OPT,5,5,22.787422025801632,0.04444444444444438,496,18,0,0
data/ssb_converted/explorative.xml_0,7,3000,NAIVE,7,3,13.804168566993361,0.03703703703703698,0.0752,8,0,0
data/ssb_converted/explorative.xml_0,7,3000,TAP,2,7,9.207150891159898,0.027777777777777735,0,7,0,2
data/ssb_converted/explorative.xml_0,7,4000,OPT,5,5,22.787422025801632,0.04888888888888889,501,19,0,0
data/ssb_converted/explorative.xml_0,7,4000,NAIVE,7,3,13.804168566993361,0.03703703703703698,0.0664,8,0,0
data/ssb_converted/explorative.xml_0,7,4000,TAP,2,7,9.207150891159898,0.027777777777777735,0,7,0,2
data/ssb_converted/explorative.xml_0,7,5000,OPT,6,6,27.22059114318423,0.04629629629629626,502,23,0,0
data/ssb_converted/explorative.xml_0,7,5000,NAIVE,7,3,13.804168566993361,0.03333333333333329,0.0563,9,0,0
data/ssb_converted/explorative.xml_0,7,5000,TAP,2,7,9.207150891159898,0.027777777777777735,0,5,0,2
data/ssb_converted/explorative.xml_0,7,6000,OPT,5,5,22.596511529259743,0.04444444444444438,476,18,0,0
data/ssb_converted/explorative.xml_0,7,6000,NAIVE,7,3,13.804168566993361,0.03703703703703698,0.0404,8,0,0
data/ssb_converted/explorative.xml_0,7,6000,TAP,2,7,9.207150891159898,0.027777777777777735,0,5,0,2
data/ssb_converted/explorative.xml_0,7,7000,OPT,5,5,22.717419312767248,0.039999999999999945,470,16,0,0
data/ssb_converted/explorative.xml_0,7,7000,NAIVE,7,3,13.804168566993361,0.03333333333333329,0.0368,8,0,0
data/ssb_converted/explorative.xml_0,7,7000,TAP,2,7,9.202045471025972,0.027777777777777735,0,7,0,2
data/ssb_converted/explorative.xml_0,7,8000,OPT,3,3,13.558314616684639,0.03703703703703698,464,243,0,0
data/ssb_converted/explorative.xml_0,7,8000,NAIVE,7,3,13.804168566993361,0.03703703703703698,0.1045,19,0,0
data/ssb_converted/explorative.xml_0,7,8000,TAP,2,7,9.202045471025972,0.027777777777777735,1,14,0,2
data/ssb_converted/explorative.xml_0,7,9000,OPT,4,4,18.15086441535135,0.044444444444444425,552,28,0,0
data/ssb_converted/explorative.xml_0,7,9000,NAIVE,7,3,13.804168566993361,0.03333333333333329,0.0383,12,0,0
data/ssb_converted/explorative.xml_0,7,9000,TAP,2,7,9.207150891159898,0.027777777777777735,0,7,0,2
data/ssb_converted/explorative.xml_0,7,10000,OPT,3,3,13.580271134641734,0.03703703703703698,505,15,0,0
data/ssb_converted/explorative.xml_0,7,10000,NAIVE,7,3,13.804168566993361,0.03333333333333329,0.0414,12,0,0
data/ssb_converted/explorative.xml_0,7,10000,TAP,2,7,9.202045471025972,0.027777777777777735,0,8,0,2
data/ssb_converted/explorative.xml_1,5,1000,OPT,5,5,25.500804609658395,0.0422222222222222,7,18,0,0
