session,candidateSize,budget,algo,planSize,executedSize,im,avgDist,optiTime,execTime,reoptGood,reoptBad
data/ssb_converted/explorative.xml_1,5,7000,OPT,3,3,15.394556513455344,0.03333333333333329,15,73,0,0
data/ssb_converted/explorative.xml_1,5,7000,NAIVE,5,3,15.394556513455344,0.03703703703703698,0,74,0,0
data/ssb_converted/explorative.xml_1,5,7000,TAP,2,5,10.268034071634219,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_1,5,8000,OPT,2,2,10.268034071634219,0.027777777777777735,15,49,0,0
data/ssb_converted/explorative.xml_1,5,8000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,78,0,0
data/ssb_converted/explorative.xml_1,5,8000,TAP,2,5,10.268034071634219,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_1,5,9000,OPT,3,3,15.328274572537447,0.03333333333333329,15,73,0,0
data/ssb_converted/explorative.xml_1,5,9000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,72,0,0
data/ssb_converted/explorative.xml_1,5,9000,TAP,2,5,10.268034071634219,0.027777777777777735,0,47,0,2
data/ssb_converted/explorative.xml_1,5,10000,OPT,3,3,15.328274572537447,0.03333333333333329,15,71,0,0
data/ssb_converted/explorative.xml_1,5,10000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,73,0,0
data/ssb_converted/explorative.xml_1,5,10000,TAP,2,5,10.262199305766874,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_2,5,1000,OPT,3,3,15.3224398066701,0.03703703703703698,17,75,0,0
data/ssb_converted/explorative.xml_2,5,1000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,76,0,0
data/ssb_converted/explorative.xml_2,5,1000,TAP,2,5,10.268034071634219,0.027777777777777735,0,49,0,2
data/ssb_converted/explorative.xml_2,5,2000,OPT,2,2,10.195917364848977,0.027777777777777735,15,47,0,0
data/ssb_converted/explorative.xml_2,5,2000,NAIVE,5,3,15.394556513455344,0.03703703703703698,0,75,0,0
data/ssb_converted/explorative.xml_2,5,2000,TAP,2,5,10.268034071634219,0.027777777777777735,0,47,0,2
data/ssb_converted/explorative.xml_2,5,3000,OPT,3,3,15.328274572537447,0.03333333333333329,15,74,0,0
data/ssb_converted/explorative.xml_2,5,3000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,73,0,0
data/ssb_converted/explorative.xml_2,5,3000,TAP,2,5,10.268034071634219,0.027777777777777735,0,50,0,2
data/ssb_converted/explorative.xml_2,5,4000,OPT,5,5,25.500804609658395,0.04222222222222216,15,134,0,0
data/ssb_converted/explorative.xml_2,5,4000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,75,0,0
data/ssb_converted/explorative.xml_2,5,4000,TAP,2,5,10.268034071634219,0.027777777777777735,1,48,0,2
data/ssb_converted/explorative.xml_2,5,5000,OPT,2,2,10.195917364848977,0.027777777777777735,15,50,0,0
data/ssb_converted/explorative.xml_2,5,5000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,84,0,0
data/ssb_converted/explorative.xml_2,5,5000,TAP,5,5,25.500804609658395,0.039999999999999945,2,371,4,1
data/ssb_converted/explorative.xml_2,5,6000,OPT,4,4,20.454797014358572,0.038888888888888834,15,96,0,0
data/ssb_converted/explorative.xml_2,5,6000,NAIVE,5,3,15.394556513455344,0.03703703703703698,0,73,0,0
data/ssb_converted/explorative.xml_2,5,6000,TAP,2,5,10.268034071634219,0.027777777777777735,0,50,0,2
data/ssb_converted/explorative.xml_2,5,7000,OPT,3,3,15.3224398066701,0.03333333333333329,15,72,0,0
data/ssb_converted/explorative.xml_2,5,7000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,77,0,0
data/ssb_converted/explorative.xml_2,5,7000,TAP,2,5,10.262199305766874,0.027777777777777735,0,49,0,2
data/ssb_converted/explorative.xml_2,5,8000,OPT,5,5,25.500804609658395,0.04444444444444438,28,125,0,0
data/ssb_converted/explorative.xml_2,5,8000,NAIVE,5,3,15.394556513455344,0.03703703703703698,0,72,0,0
data/ssb_converted/explorative.xml_2,5,8000,TAP,2,5,10.262199305766874,0.027777777777777735,1,51,0,2
data/ssb_converted/explorative.xml_2,5,9000,OPT,5,5,25.500804609658395,0.039999999999999945,16,127,0,0
data/ssb_converted/explorative.xml_2,5,9000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,73,0,0
data/ssb_converted/explorative.xml_2,5,9000,TAP,2,5,10.268034071634219,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_2,5,10000,OPT,5,5,25.500804609658395,0.04222222222222216,16,127,0,0
data/ssb_converted/explorative.xml_2,5,10000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,72,0,0
data/ssb_converted/explorative.xml_2,5,10000,TAP,2,5,10.268034071634219,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_3,5,1000,OPT,4,4,20.454797014358572,0.036111111111111066,17,97,0,0
data/ssb_converted/explorative.xml_3,5,1000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,78,0,0
data/ssb_converted/explorative.xml_3,5,1000,TAP,2,5,10.268034071634219,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_3,5,2000,OPT,2,2,10.262199305766874,0.027777777777777735,16,49,0,0
data/ssb_converted/explorative.xml_3,5,2000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,71,0,0
data/ssb_converted/explorative.xml_3,5,2000,TAP,2,5,10.262199305766874,0.027777777777777735,0,49,0,2
data/ssb_converted/explorative.xml_3,5,3000,OPT,2,2,10.262199305766874,0.027777777777777735,15,49,0,0
data/ssb_converted/explorative.xml_3,5,3000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,73,0,0
data/ssb_converted/explorative.xml_3,5,3000,TAP,2,5,10.262199305766874,0.027777777777777735,1,48,0,2
data/ssb_converted/explorative.xml_3,5,4000,OPT,3,3,15.319120150412825,0.0296296296296296,21,75,0,0
data/ssb_converted/explorative.xml_3,5,4000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,75,0,0
data/ssb_converted/explorative.xml_3,5,4000,TAP,2,5,10.262199305766874,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_3,5,5000,OPT,3,3,15.394556513455344,0.03333333333333329,15,76,0,0
data/ssb_converted/explorative.xml_3,5,5000,NAIVE,5,3,15.394556513455344,0.03703703703703698,0,145,0,0
