id,budget,algorithm,im,avgDist,optTime,execTime,candidates,nbExecuted
1-01.json,500,NAIVE,15.389925037951347,0.010869565217391464,288,361,149,3
1-01.json,500,TAP,10.282630844552983,0.0036231884057972286,321,70,149,2
1-01.json,1000,NAIVE,30.71180761814644,0.010869565217391464,235,204,149,6
1-01.json,1000,TAP,46.03369019834153,0.0181159420289857,699,202,149,9
1-01.json,1500,NAIVE,51.1409843917399,0.0181159420289857,89,213,149,10
1-01.json,1500,TAP,137.9649856795121,0.021739130434782927,1054,333,149,27
1-01.json,2000,NAIVE,66.46286697193499,0.021739130434782927,85,178,149,13
1-01.json,2000,TAP,275.98238603738747,0.27053140096618455,1248,673,149,54
1-01.json,2500,NAIVE,81.78474955213008,0.021739130434782927,144,198,149,16
1-01.json,2500,TAP,408.65545931913795,0.7101449275362338,1486,923,149,80
1-01.json,3000,NAIVE,102.21392632572355,0.021739130434782927,80,277,149,20
1-01.json,3000,TAP,493.0676827933609,1.099033816425123,1737,1183,149,97
1-01.json,4000,NAIVE,137.9649856795121,0.0181159420289857,77,315,149,27
1-01.json,4000,TAP,751.2697781262783,1.371980676328505,2401,1532,149,149
1-01.json,5000,NAIVE,168.60875083990229,0.0181159420289857,100,357,149,33
1-01.json,5000,TAP,751.2697781262783,1.4251207729468618,2310,1521,149,149
1-02.json,500,NAIVE,27.37616170869207,0.038647342995169254,14,424,78,4
1-02.json,500,TAP,34.543383883622255,0.060386473429951626,52,418,78,5
1-02.json,1000,NAIVE,55.06637596765218,0.11352657004830924,24,351,78,8
1-02.json,1000,TAP,55.30677384282739,0.1280193236714977,89,911,78,8
1-02.json,1500,NAIVE,75.82900095719995,0.17632850241545894,13,333,78,11
1-02.json,1500,TAP,90.00311756865679,0.23913043478260865,92,1296,78,13
1-02.json,2000,NAIVE,103.47680088816226,0.2814009661835749,17,633,78,15
1-02.json,2000,TAP,166.03377574227963,0.4782608695652175,289,1841,78,24
1-02.json,2500,NAIVE,124.26826580763995,0.342995169082126,20,102,78,18
1-02.json,2500,TAP,274.4250543920301,0.7850241545893725,311,2125,78,40
1-02.json,3000,NAIVE,145.03122635890315,0.42270531400966194,23,107,78,21
1-02.json,3000,TAP,526.3526979887027,0.9541062801932385,637,2236,78,78
1-02.json,4000,NAIVE,193.68172511640043,0.5676328502415462,18,117,78,28
1-02.json,4000,TAP,526.3526979887027,0.9541062801932387,531,292,78,78
1-02.json,5000,NAIVE,221.38765574009904,0.6425120772946861,20,135,78,32
1-02.json,5000,TAP,526.3526979887027,1.01449275362319,554,285,78,78
1-03.json,500,NAIVE,38.606388655478625,0.06521739130434778,2,364,35,6
1-03.json,500,TAP,38.725808147732444,0.08937198067632857,13,457,35,6
1-03.json,1000,NAIVE,70.79911291021925,0.2149758454106283,18,860,35,11
