id,projNb,selNb,tableNb,estTuples,aggNb,predicted,actual
"3-14.json|13",5,2,5,16,3,0.384992,0.076
"3-15.json|0",5,1,5,81,4,0.825268,0.093
"3-15.json|1",4,1,4,45,3,2.20935,0.074
"3-15.json|2",4,1,4,43,3,0.752244,0.072
"3-15.json|3",4,3,5,24,3,0.460414,0.08
"3-15.json|4",4,1,4,22,3,0.660787,0.0
"3-15.json|5",5,1,5,83,4,0.827645,0.087
"4-16.json|0",3,0,3,18,2,2.35759,0.044
"4-16.json|1",3,1,3,3,2,2.09567,0.043
"4-16.json|2",3,1,3,3,2,2.09578,0.039
"4-16.json|3",2,0,2,3,1,0.537311,0.02
"4-16.json|4",3,1,3,9,2,2.18023,0.046
"4-17.json|0",3,0,3,12,2,2.35559,0.043
"4-17.json|1",3,0,3,18,2,2.35759,0.0
"4-17.json|2",3,0,3,30,2,2.35988,0.045
"4-18.json|0",2,0,2,3,1,0.537311,0.0
"4-18.json|1",4,0,3,30,2,2.35988,0.043
"4-18.json|2",5,1,4,42,3,2.32539,0.072
"4-18.json|3",5,2,4,11,3,2.13153,0.073
"4-18.json|4",6,2,5,112,4,2.17968,0.093
"4-19.json|0",2,0,2,5,1,0.575131,0.022
"4-19.json|1",4,3,4,4,2,0.0507425,0.059
"4-19.json|2",3,3,4,4,2,0.0507425,0.058
"4-19.json|3",2,0,2,9,1,0.575133,0.022
"4-19.json|4",2,0,2,5,1,0.575131,0.0
"4-19.json|5",3,0,3,30,2,2.35988,0.0
"4-19.json|6",2,0,2,3,1,0.537311,0.0
"4-19.json|7",3,0,3,30,2,2.35988,0.0
"4-19.json|8",2,0,2,13,1,0.539672,0.023
"4-19.json|9",3,0,3,26,2,1.17288,0.043
"4-19.json|10",3,0,3,7,2,2.3533,0.043
"4-19.json|11",3,0,3,130,2,1.15197,0.039
"4-19.json|12",2,0,2,10,1,0.29744,0.022
"4-19.json|13",3,0,3,12,2,2.35559,0.0
"4-19.json|14",4,0,4,24,3,2.66393,0.064
"4-19.json|15",3,0,3,7,2,1.17769,0.07
"4-19.json|16",3,0,3,40,2,1.175,0.043
"4-19.json|17",3,0,3,33,2,1.17205,0.045
"4-19.json|18",3,0,3,48,2,1.08883,0.044
"4-19.json|19",3,0,3,18,2,2.35573,0.045
"4-19.json|20",3,0,3,45,2,2.36143,0.041
"4-19.json|21",3,0,3,17,2,2.35662,0.041
"5-21.json|0",5,0,2,3,1,0.353105,0.031
"5-21.json|1",6,1,2,1,2,0.506764,0.028
"5-21.json|2",7,1,2,1,2,0.828322,0.031
"5-22.json|0",6,0,2,426,2,0.696449,0.033
"5-22.json|1",6,0,3,1825,3,0.765638,0.055
"5-22.json|2",7,0,4,3559,4,1.03227,0.063
"5-22.json|3",4,0,2,2,1,0.339042,0.023
"5-23.json|0",3,0,3,2050,2,1.11716,0.054
"5-23.json|1",5,0,3,2050,2,1.21048,0.059
"5-23.json|2",5,0,4,4100,3,2.0472,0.064
"5-23.json|3",7,0,5,24005,4,4.2926,0.094
"5-24.json|0",3,0,2,7,1,0.537704,0.023
"5-24.json|1",4,0,2,2,1,0.339042,0.0
"5-24.json|2",5,0,3,7,2,0.972719,0.039
"5-24.json|3",3,0,3,91,2,1.14259,0.042
"5-25.json|0",5,0,2,7,1,0.537741,0.023
"5-25.json|1",7,0,4,117,3,2.68911,0.065
"5-25.json|2",8,0,5,234,4,3.28771,0.085
"5-25.json|3",7,0,4,4100,3,2.06923,0.063
